state,x,y,solvedness
"[5, 0, 2, 4, 0, 5, 0, 0, 2, 3, 2, 5, 2, 1, 0, 3, 4, 5, 0, 5, 4, 1, 2, 2, 1, 2, 2, 4, 3, 3, 3, 3, 3, 1, 1, 5, 3, 5, 0, 4, 4, 3, 4, 4, 4, 1, 1, 0, 5, 5, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-31.644653,62.052902,0.3888888888888889
"[0, 4, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5, 1, 1, 5, 2, 2, 2, 4, 4, 4, 2, 2, 1, 2, 2, 4, 3, 3, 5, 3, 3, 1, 3, 3, 1, 1, 4, 4, 0, 4, 4, 1, 2, 2, 3, 5, 5, 3, 5, 5, 0, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",94.04295,57.717926,0.5740740740740741
"[0, 5, 5, 3, 0, 0, 3, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1, 1, 3, 5, 4, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 2, 5, 0, 5, 4, 4, 1, 4, 4, 1, 0, 2, 1, 4, 5, 5, 4, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",51.6563,27.790916,0.5740740740740741
"[4, 4, 1, 0, 0, 0, 0, 0, 0, 1, 5, 2, 1, 1, 2, 5, 1, 0, 4, 0, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 1, 1, 4, 4, 4, 4, 4, 4, 0, 1, 2, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",55.999733,65.39867,0.6851851851851852
"[1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 5, 2, 1, 2, 2, 1, 1, 3, 4, 2, 3, 2, 2, 3, 2, 2, 5, 3, 3, 5, 3, 3, 4, 3, 3, 4, 1, 0, 4, 4, 4, 4, 4, 4, 1, 1, 2, 5, 5, 1, 5, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",21.06598,122.64575,0.5925925925925926
"[0, 1, 4, 1, 0, 1, 1, 0, 0, 1, 0, 5, 5, 1, 0, 2, 0, 0, 1, 5, 5, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 1, 4, 4, 4, 4, 4, 4, 4, 2, 5, 5, 5, 2, 5, 5, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",17.781775,110.60331,0.5555555555555556
"[5, 4, 4, 1, 0, 1, 5, 0, 5, 3, 0, 0, 5, 1, 4, 5, 1, 3, 3, 0, 2, 5, 2, 2, 1, 2, 2, 0, 3, 4, 3, 3, 2, 4, 3, 2, 0, 1, 2, 0, 4, 4, 1, 4, 4, 1, 5, 0, 3, 5, 2, 3, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-28.187765,33.8263,0.37037037037037035
"[5, 0, 1, 5, 0, 0, 5, 0, 2, 0, 1, 3, 2, 1, 2, 5, 5, 2, 4, 1, 3, 1, 2, 3, 0, 2, 0, 1, 3, 5, 3, 3, 2, 3, 3, 2, 4, 4, 2, 4, 4, 5, 3, 1, 1, 0, 4, 1, 4, 5, 0, 4, 5, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-7.2875576,31.217722,0.35185185185185186
"[0, 0, 3, 0, 0, 0, 5, 1, 2, 3, 4, 1, 1, 1, 1, 5, 5, 1, 0, 0, 5, 2, 2, 2, 0, 2, 2, 1, 3, 3, 2, 3, 3, 4, 3, 3, 0, 5, 2, 4, 4, 4, 4, 4, 4, 4, 1, 2, 5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",16.5034,98.31057,0.5740740740740741
"[3, 4, 1, 0, 0, 1, 3, 0, 5, 4, 2, 5, 5, 1, 0, 5, 2, 4, 4, 4, 1, 5, 2, 3, 1, 2, 1, 0, 3, 0, 3, 3, 4, 4, 3, 3, 2, 5, 3, 4, 4, 0, 2, 1, 0, 0, 1, 2, 2, 5, 1, 2, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-6.9561396,44.592445,0.2962962962962963
"[0, 0, 2, 0, 0, 4, 0, 5, 4, 5, 1, 0, 5, 1, 0, 4, 4, 3, 3, 1, 2, 2, 2, 1, 1, 0, 5, 5, 3, 4, 3, 3, 3, 1, 3, 1, 0, 2, 1, 2, 4, 4, 3, 2, 4, 5, 5, 3, 5, 5, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",9.363175,64.46994,0.4074074074074074
"[3, 4, 4, 3, 0, 3, 3, 0, 3, 0, 0, 2, 1, 1, 2, 1, 4, 2, 5, 3, 1, 2, 2, 0, 2, 2, 1, 4, 4, 5, 3, 3, 1, 4, 4, 2, 0, 0, 0, 1, 4, 1, 0, 5, 1, 3, 5, 5, 2, 5, 5, 4, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",82.76946,23.43478,0.3333333333333333
"[2, 5, 0, 2, 0, 5, 4, 0, 1, 4, 4, 0, 0, 1, 2, 5, 2, 2, 1, 1, 3, 1, 2, 3, 5, 2, 2, 4, 3, 1, 3, 3, 0, 5, 3, 2, 4, 4, 5, 4, 4, 5, 0, 1, 3, 3, 1, 1, 4, 5, 0, 0, 5, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-36.520535,27.614185,0.3148148148148148
"[0, 5, 5, 3, 0, 1, 0, 5, 1, 3, 1, 3, 0, 1, 2, 4, 5, 4, 1, 3, 2, 4, 2, 5, 2, 2, 4, 0, 3, 1, 4, 3, 3, 3, 2, 1, 3, 0, 5, 1, 4, 0, 2, 4, 0, 4, 2, 2, 1, 5, 0, 5, 4, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-11.288398,-4.5591044,0.3333333333333333
"[5, 1, 3, 0, 0, 2, 0, 4, 2, 1, 5, 0, 0, 1, 2, 5, 5, 2, 0, 0, 1, 0, 2, 2, 1, 2, 2, 4, 3, 3, 1, 3, 3, 5, 3, 3, 0, 1, 3, 4, 4, 4, 4, 4, 4, 2, 1, 4, 5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24.250134,96.931404,0.46296296296296297
"[0, 0, 5, 0, 0, 5, 4, 4, 5, 2, 3, 3, 2, 1, 1, 4, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 0, 0, 3, 3, 5, 3, 3, 5, 3, 3, 4, 4, 0, 4, 4, 0, 2, 2, 2, 5, 5, 1, 5, 5, 1, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",52.03951,47.192062,0.48148148148148145
"[4, 1, 1, 2, 0, 4, 4, 0, 3, 1, 5, 0, 5, 1, 4, 5, 1, 3, 4, 2, 0, 2, 2, 0, 0, 2, 5, 2, 3, 4, 3, 3, 3, 3, 3, 2, 5, 1, 1, 5, 4, 0, 3, 4, 0, 5, 4, 2, 1, 5, 0, 1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-12.1228,26.658064,0.37037037037037035
"[5, 4, 0, 1, 0, 5, 0, 0, 5, 4, 2, 4, 1, 1, 4, 2, 4, 4, 3, 2, 2, 0, 2, 2, 1, 0, 5, 0, 1, 3, 3, 3, 3, 1, 3, 4, 3, 5, 5, 3, 4, 0, 0, 4, 2, 1, 1, 3, 2, 5, 5, 1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10.858334,27.27973,0.37037037037037035
"[3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 4, 1, 1, 5, 1, 1, 5, 2, 2, 0, 2, 2, 5, 2, 2, 5, 3, 3, 1, 3, 3, 1, 3, 3, 2, 1, 1, 1, 4, 4, 4, 4, 4, 4, 2, 2, 4, 3, 5, 5, 3, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",57.849392,58.527493,0.6296296296296297
"[4, 4, 3, 2, 0, 1, 0, 0, 4, 2, 3, 5, 1, 1, 0, 0, 4, 3, 2, 5, 0, 0, 2, 5, 2, 2, 1, 1, 3, 4, 3, 3, 3, 1, 2, 1, 5, 2, 4, 0, 4, 1, 5, 4, 0, 3, 5, 3, 5, 5, 4, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-6.9861584,53.42958,0.37037037037037035
"[3, 4, 1, 3, 0, 0, 3, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 5, 2, 0, 1, 2, 2, 4, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 3, 2, 5, 4, 4, 4, 2, 4, 4, 0, 5, 5, 5, 1, 5, 5, 2, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",64.87747,25.400839,0.5740740740740741
"[0, 2, 3, 0, 0, 0, 1, 0, 3, 1, 4, 4, 1, 1, 1, 5, 5, 5, 0, 4, 4, 5, 2, 0, 0, 2, 0, 2, 3, 2, 3, 3, 2, 5, 3, 2, 3, 5, 1, 2, 4, 4, 1, 4, 4, 2, 1, 5, 3, 5, 1, 3, 5, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-6.169915,78.289665,0.4074074074074074
"[2, 5, 2, 3, 0, 1, 1, 0, 1, 4, 5, 4, 4, 1, 1, 3, 3, 3, 0, 2, 4, 2, 2, 3, 5, 2, 1, 4, 4, 5, 2, 3, 0, 2, 3, 0, 2, 4, 3, 4, 4, 0, 0, 5, 3, 5, 1, 1, 1, 5, 5, 5, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.970406,7.593271,0.3148148148148148
"[3, 1, 5, 5, 0, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 4, 2, 2, 1, 1, 4, 3, 2, 2, 3, 2, 2, 5, 3, 3, 5, 3, 3, 5, 3, 3, 1, 4, 0, 4, 4, 4, 4, 4, 4, 2, 0, 0, 5, 5, 1, 5, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10.013289,116.05015,0.5370370370370371
"[0, 1, 0, 2, 0, 0, 5, 0, 0, 2, 0, 4, 4, 1, 0, 2, 5, 5, 3, 1, 1, 3, 2, 2, 3, 2, 2, 5, 3, 3, 5, 3, 3, 1, 3, 3, 4, 2, 1, 4, 4, 4, 4, 4, 4, 2, 1, 1, 5, 5, 1, 5, 5, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20.297556,124.60721,0.5185185185185185
"[3, 0, 0, 0, 0, 1, 3, 0, 5, 0, 2, 5, 2, 1, 5, 2, 2, 4, 3, 1, 2, 5, 2, 0, 1, 2, 4, 0, 3, 1, 3, 3, 3, 4, 3, 1, 3, 4, 1, 5, 4, 1, 2, 4, 2, 4, 4, 5, 4, 5, 1, 0, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-11.34927,45.123466,0.3888888888888889
